X,Y,Z
0.11184433393254195,0.30522700014562393,14.4169178399305
0.13118260055385014,0.31736663791360736,14.032808076637648
0.14980100428982587,0.33251549712388534,13.65901619106955
0.1680724535732318,0.35067327992346564,13.295273870861807
0.18633253620825518,0.37188114112069764,12.941322619491086
0.20488739669949943,0.39622154519201175,12.596913618533254
0.22402081154875067,0.42381831243845397,12.26180773004814
0.244000561637721,0.4548369553603183,11.935775631803207
0.2650842010099807,0.48948538348785897,11.618598086347403
0.28752431925776856,0.52801503803002,11.310066352462684
0.3115733911349937,0.5707225057543748,11.009982754707353
0.3374883025969318,0.6179516535824096,10.718161434046973
0.36553463769547956,0.6700963206803623,10.434429310352265
0.39599080599396785,0.7276036026531059,10.158627296234213
0.42915208565988167,0.7909777621966048,9.890611811705222
0.46533465331355395,0.86078480168495,9.630256660956656
0.5048796681506935,0.9376577351494275,9.377455346637175
0.5481574748505669,1.022302599445046,9.132123913988462
0.5955719873100148,1.1155052465616104,8.894204437729886
0.6475653132351744,1.218138960417595,8.66366928948925
0.7046226779534165,1.3311729413471272,8.440526353810872
0.7672777042927875,1.4556816989330266,8.224825397470093
0.8361181037568114,1.592855387653878,8.016665841325608
0.911791832146518,1.7440111084122347,7.816206237819765
0.9950137597730897,1.91060518026897,7.623675822316136
1.0865729018226777,2.0942463577702055,7.439388584826319
1.1873402474174306,2.296709926278841,7.26376040265189
1.2982772153035715,2.519952545556277,7.097329886568979
1.420444748328842,2.7661276235734586,6.940783725995892
1.5550130358533036,3.0376008789410283,6.7949874745304575
1.703271820162076,3.3369655791769954,6.661022898187706
1.866641196063568,3.6670567070712323,6.540233215261331
2.0466827471643345,4.030962987383618,6.434277787364899
2.245110771186263,4.4320352733371715,6.345198070375862
2.4638032214013537,4.873889211204842,6.27549688980364
2.7048118203817024,5.360399326555249,6.228233345468741
2.970370570999057,5.89568065126738,6.207135837527235
3.2629015790258893,6.484052668414598,6.216735778218507
3.5850166879647603,7.129978613986341,6.262524414368584
3.9395128805669186,7.837970955133629,6.351134686478484
4.329358688023589,8.612451083105057,6.490548970191641
4.757667927531736,9.457547859179193,6.690331563538055
5.227655920696482,10.376815641252305,6.96188144307084
